"ID","Email","Email (preferred)","Decision","Application Response","FT or PT","GRE Verbal","GRE Quant","GRE Analytical","Applied Dual Degree","Birth Date","Gender","Ethnicity","Low Income"
60,"diana.lee@Outlook.com","lee_diana@gmail.com","A","A","pt",137,132,6,"NODUAL","12/18/1997","F","AN","N"
64,"shukriyya.al-huq@Outlook.com","al-huq_shukriyya@Outlook.com","A","A","ft",149,166,4.5,"NODUAL","2/3/1995","M","ME","N"
38,"mikaela.ricketts@yahoo.com","ricketts_mikaela@gmail.com","A","A","pt",130,157,2.5,"NODUAL","5/18/1998","F","AN","N"
66,"wajeeh.el-pasha@gmail.com","el-pasha_wajeeh@yahoo.com","R","A","ft",133,133,4.5,"NODUAL","10/7/1987","NB","ME","Y"
14,"kala.mitchell@gmail.com",NA,"A","D","ft",148,144,4,"MSSP/MSW","3/19/1996","NB","B","N"
34,"miranda.nelson@yahoo.com","nelson_miranda@gmail.com","A","A","ft",150,154,4,"NODUAL","12/25/1996","F","AP","N"
56,"julliene.santistevan-minnick@this.university.edu","santistevan-minnick_julliene@Outlook.com","A","A","pt",134,150,4.5,"NODUAL","10/20/1988","F","AN","N"
5,"dominick.lindsey@Outlook.com","lindsey_dominick@this.university.edu","R","D","ft",145,151,3.5,"NODUAL","9/28/1991","F","B","N"
43,"jae.bui@this.university.edu","bui_jae@this.university.edu","A","D","ft",148,162,3,"MSSP/MSW","6/7/1991","F","AP","N"
8,"michael.armstrong@Outlook.com",NA,"A","A","ft",160,170,5.5,"NODUAL","6/9/1991","M","W","N"
30,"daniel.sheard@Outlook.com",NA,"A","A","ft",156,159,5,"NODUAL","10/18/1997","NB","W","Y"
40,"john.cung@yahoo.com",NA,"R","A","ft",163,169,3,"NODUAL","3/25/1990","F","AP","N"
78,"kirsten.saunders@gmail.com",NA,"W",NA,"sub",138,138,2.5,"NODUAL","12/8/1993","NB","W","N"
10,"mackenzie.molinar-castillo@Outlook.com",NA,"R","D","ft",160,168,5,"NODUAL","8/28/1989","M","HL","N"
39,"kaamil.al-dajani@gmail.com","al-dajani_kaamil@yahoo.com","R","A","ft",132,136,3.5,"MSSP/JD","7/12/1990","NB","ME","N"
37,"timothy.williams@this.university.edu","williams_timothy@yahoo.com","A","A","ft",154,168,NA,"NODUAL","6/28/1996","NB","B","N"
12,"shyvaughn.hamm@yahoo.com","hamm_shyvaughn@gmail.com","W",NA,"ft",145,169,6,"NODUAL","7/25/1997","M","AN","N"
17,"taalib.al-shakir@yahoo.com",NA,"A","D","sub",148,132,2.5,"NODUAL","7/17/1996","F","ME","Y"
80,"trevor.taylor@Outlook.com",NA,"A","A","ft",146,160,3.5,"NODUAL","5/17/1985","F","W","N"
28,"nikki.johnson@yahoo.com",NA,"A","A","ft",154,149,4.5,"MSSP/JD","9/19/1997","M","B","N"
47,"brian.romero@this.university.edu","romero_brian@Outlook.com","A","A","ft",147,130,5.5,"NODUAL","12/12/1997","F","HL","Y"
